5615,HIGH,6 - 9 years,RENT,MEDIUM,debt_consolidation,HIGH,LOW,NO MORE THAN 2 YEARS AGO,AVERAGE,NO,MEDIUM,NO
5619,HIGH,< 2 years,MORTGAGE,MEDIUM,debt_consolidation,HIGH,LOW,YES,IN PAST 2 YEARS,MANY,NO,MEDIUM,NO
5621,HIGH,10+ years,RENT,HIGH,debt_consolidation,LOW,AVERAGE,YES,NEVER,AVERAGE,NO,MEDIUM,NO
5631,MEDIUM,2 - 5 years,RENT,HIGH,debt_consolidation,AVERAGE,HIGH,YES,NEVER,AVERAGE,NO,LOW,NO
5632,MEDIUM,6 - 9 years,RENT,MEDIUM,debt_consolidation,AVERAGE,LOW,YES MORE THAN 2 YEARS AGO,AVERAGE,NO,MEDIUM,NO
5633,HIGH,2 - 5 years,MORTGAGE,HIGH,other,LOW,HIGH,NO,NEVER,FEW,NO,LOW,NO
5634,MEDIUM,< 2 years,MORTGAGE,MEDIUM,home_improvement,AVERAGE,AVERAGE,YES MORE THAN 2 YEARS AGO,AVERAGE,NO,MEDIUM,NO
5640,LOW,10+ years,MORTGAGE,MEDIUM,other,AVERAGE,LOW,NO MORE THAN 2 YEARS AGO,FEW,NO,MEDIUM,NO
5641,HIGH,2 - 5 years,RENT,MEDIUM,debt_consolidation,HIGH,AVERAGE,NO,NEVER,MANY,NO,MEDIUM,NO
5642,MEDIUM,10+ years,MORTGAGE,HIGH,debt_consolidation,AVERAGE,HIGH,NO,NEVER,AVERAGE,NO,LOW,NO
5643,HIGH,6 - 9 years,RENT,HIGH,debt_consolidation,AVERAGE,AVERAGE,NO,NEVER,AVERAGE,NO,HIGH,NO
5646,MEDIUM,2 - 5 years,RENT,MEDIUM,debt_consolidation,HIGH,LOW,YES MORE THAN 2 YEARS AGO,MANY,NO,MEDIUM,NO
5650,MEDIUM,2 - 5 years,RENT,LOW,debt_consolidation,AVERAGE,LOW,NO MORE THAN 2 YEARS AGO,AVERAGE,NO,MEDIUM,NO
5651,MEDIUM,2 - 5 years,MORTGAGE,MEDIUM,debt_consolidation,HIGH,AVERAGE,NO,NEVER,AVERAGE,NO,MEDIUM,NO
5654,MEDIUM,2 - 5 years,MORTGAGE,LOW,debt_consolidation,AVERAGE,AVERAGE,YES MORE THAN 2 YEARS AGO,FEW,NO,MEDIUM,NO
5659,HIGH,10+ years,MORTGAGE,HIGH,debt_consolidation,HIGH,LOW,YES,NEVER,MANY,NO,HIGH,NO
5662,HIGH,10+ years,MORTGAGE,MEDIUM,debt_consolidation,HIGH,AVERAGE,YES MORE THAN 2 YEARS AGO,AVERAGE,NO,HIGH,NO
5669,HIGH,< 2 years,RENT,MEDIUM,debt_consolidation,HIGH,AVERAGE,YES,NEVER,FEW,NO,MEDIUM,NO
5670,HIGH,10+ years,MORTGAGE,MEDIUM,debt_consolidation,AVERAGE,AVERAGE,YES,NEVER,MANY,NO,MEDIUM,NO
5671,HIGH,< 2 years,OWN,LOW,other,LOW,AVERAGE,YES MORE THAN 2 YEARS AGO,AVERAGE,NO,MEDIUM,NO
5672,MEDIUM,2 - 5 years,MORTGAGE,HIGH,debt_consolidation,AVERAGE,AVERAGE,YES,NEVER,AVERAGE,NO,HIGH,NO
5676,HIGH,6 - 9 years,MORTGAGE,HIGH,debt_consolidation,AVERAGE,AVERAGE,YES,NEVER,MANY,NO,HIGH,NO
5677,HIGH,2 - 5 years,RENT,MEDIUM,debt_consolidation,AVERAGE,AVERAGE,YES,NEVER,AVERAGE,NO,MEDIUM,NO
5679,HIGH,< 2 years,MORTGAGE,HIGH,medical,AVERAGE,HIGH,YES,NEVER,MANY,NO,MEDIUM,NO
5682,HIGH,2 - 5 years,MORTGAGE,HIGH,debt_consolidation,AVERAGE,AVERAGE,YES,NEVER,MANY,NO,HIGH,NO
5686,HIGH,10+ years,RENT,HIGH,debt_consolidation,AVERAGE,AVERAGE,YES,NEVER,AVERAGE,NO,MEDIUM,NO
5689,HIGH,2 - 5 years,OWN,MEDIUM,debt_consolidation,HIGH,AVERAGE,NO MORE THAN 2 YEARS AGO,FEW,NO,HIGH,NO
5690,HIGH,2 - 5 years,MORTGAGE,MEDIUM,credit_card,AVERAGE,AVERAGE,YES MORE THAN 2 YEARS AGO,AVERAGE,NO,HIGH,NO
5701,HIGH,< 2 years,RENT,HIGH,debt_consolidation,AVERAGE,AVERAGE,YES,NEVER,AVERAGE,NO,MEDIUM,NO
5705,MEDIUM,2 - 5 years,MORTGAGE,MEDIUM,debt_consolidation,HIGH,AVERAGE,YES,NEVER,AVERAGE,NO,MEDIUM,NO
5712,MEDIUM,6 - 9 years,RENT,HIGH,debt_consolidation,HIGH,LOW,YES,NEVER,MANY,NO,HIGH,NO
5713,HIGH,unemployed,MORTGAGE,MEDIUM,debt_consolidation,HIGH,AVERAGE,YES,IN PAST 2 YEARS,MANY,NO,MEDIUM,NO
5716,MEDIUM,2 - 5 years,RENT,MEDIUM,other,HIGH,LOW,YES,NEVER,AVERAGE,NO,HIGH,NO
5717,HIGH,10+ years,MORTGAGE,MEDIUM,debt_consolidation,HIGH,AVERAGE,YES,NEVER,MANY,NO,HIGH,NO
5721,LOW,< 2 years,RENT,LOW,wedding,LOW,HIGH,NO,NEVER,FEW,NO,LOW,NO
5723,HIGH,< 2 years,RENT,MEDIUM,small_business,LOW,AVERAGE,NO,NEVER,AVERAGE,NO,MEDIUM,NO
5725,MEDIUM,< 2 years,MORTGAGE,HIGH,small_business,AVERAGE,HIGH,YES,NEVER,MANY,NO,LOW,NO
5726,MEDIUM,2 - 5 years,MORTGAGE,MEDIUM,home_improvement,LOW,AVERAGE,YES MORE THAN 2 YEARS AGO,AVERAGE,NO,LOW,NO
5727,HIGH,< 2 years,RENT,HIGH,other,AVERAGE,AVERAGE,NO MORE THAN 2 YEARS AGO,AVERAGE,NO,HIGH,NO
5729,MEDIUM,unemployed,MORTGAGE,MEDIUM,debt_consolidation,LOW,AVERAGE,NO,NEVER,AVERAGE,NO,MEDIUM,NO
5731,HIGH,10+ years,MORTGAGE,MEDIUM,credit_card,AVERAGE,AVERAGE,YES,NEVER,AVERAGE,NO,MEDIUM,NO
5732,LOW,2 - 5 years,RENT,LOW,other,AVERAGE,AVERAGE,NO,NEVER,FEW,NO,MEDIUM,NO
5734,HIGH,6 - 9 years,MORTGAGE,HIGH,credit_card,AVERAGE,LOW,NO MORE THAN 2 YEARS AGO,AVERAGE,NO,HIGH,NO
5736,HIGH,6 - 9 years,RENT,MEDIUM,small_business,LOW,AVERAGE,YES,NEVER,FEW,NO,HIGH,NO
5737,LOW,2 - 5 years,MORTGAGE,MEDIUM,home_improvement,LOW,HIGH,NO,NEVER,MANY,NO,LOW,NO
5738,HIGH,10+ years,MORTGAGE,MEDIUM,debt_consolidation,HIGH,LOW,YES MORE THAN 2 YEARS AGO,AVERAGE,NO,HIGH,NO
5740,HIGH,10+ years,RENT,MEDIUM,credit_card,HIGH,LOW,NO MORE THAN 2 YEARS AGO,MANY,NO,MEDIUM,NO
5742,MEDIUM,2 - 5 years,RENT,MEDIUM,debt_consolidation,HIGH,AVERAGE,YES,NEVER,FEW,NO,LOW,NO
5746,MEDIUM,6 - 9 years,RENT,MEDIUM,credit_card,HIGH,AVERAGE,YES,NEVER,MANY,NO,MEDIUM,NO
5748,MEDIUM,< 2 years,RENT,MEDIUM,debt_consolidation,LOW,AVERAGE,YES,NEVER,AVERAGE,NO,HIGH,NO
5752,LOW,2 - 5 years,RENT,LOW,major_purchase,LOW,HIGH,NO,NEVER,FEW,NO,LOW,NO
5756,HIGH,10+ years,MORTGAGE,LOW,credit_card,AVERAGE,LOW,NO MORE THAN 2 YEARS AGO,MANY,NO,HIGH,NO
5758,HIGH,2 - 5 years,MORTGAGE,HIGH,debt_consolidation,HIGH,AVERAGE,YES,NEVER,MANY,YES,HIGH,YES
5759,MEDIUM,10+ years,MORTGAGE,HIGH,other,AVERAGE,AVERAGE,NO,NEVER,AVERAGE,NO,HIGH,NO
5763,MEDIUM,2 - 5 years,RENT,HIGH,debt_consolidation,AVERAGE,AVERAGE,NO,NEVER,AVERAGE,NO,MEDIUM,NO
5764,MEDIUM,6 - 9 years,MORTGAGE,MEDIUM,debt_consolidation,AVERAGE,AVERAGE,YES,IN PAST 2 YEARS,MANY,NO,MEDIUM,NO
5765,MEDIUM,6 - 9 years,MORTGAGE,HIGH,debt_consolidation,AVERAGE,LOW,YES MORE THAN 2 YEARS AGO,AVERAGE,NO,MEDIUM,NO
5769,HIGH,2 - 5 years,MORTGAGE,HIGH,house,LOW,AVERAGE,YES,NEVER,MANY,NO,LOW,NO
5788,HIGH,2 - 5 years,RENT,MEDIUM,debt_consolidation,HIGH,AVERAGE,YES,NEVER,AVERAGE,NO,HIGH,NO
5790,HIGH,6 - 9 years,RENT,HIGH,other,AVERAGE,AVERAGE,NO,NEVER,AVERAGE,NO,MEDIUM,NO
5791,HIGH,2 - 5 years,MORTGAGE,HIGH,small_business,AVERAGE,AVERAGE,YES MORE THAN 2 YEARS AGO,MANY,NO,MEDIUM,NO
5794,LOW,< 2 years,RENT,MEDIUM,moving,LOW,AVERAGE,NO,NEVER,FEW,NO,LOW,NO
5798,HIGH,10+ years,MORTGAGE,HIGH,debt_consolidation,AVERAGE,LOW,YES,IN PAST 2 YEARS,MANY,NO,LOW,NO
5799,LOW,10+ years,RENT,MEDIUM,moving,AVERAGE,AVERAGE,YES,IN PAST 2 YEARS,MANY,NO,LOW,NO
5802,HIGH,10+ years,MORTGAGE,HIGH,other,LOW,AVERAGE,NO,NEVER,MANY,NO,LOW,NO
5803,HIGH,< 2 years,RENT,HIGH,wedding,AVERAGE,AVERAGE,YES,NEVER,MANY,NO,LOW,NO
5807,MEDIUM,2 - 5 years,MORTGAGE,HIGH,wedding,AVERAGE,LOW,YES,NEVER,MANY,NO,MEDIUM,NO
5811,MEDIUM,< 2 years,RENT,LOW,small_business,AVERAGE,AVERAGE,NO MORE THAN 2 YEARS AGO,FEW,NO,MEDIUM,NO
5814,MEDIUM,unemployed,OWN,LOW,other,HIGH,AVERAGE,YES,NEVER,AVERAGE,NO,MEDIUM,NO
5815,HIGH,6 - 9 years,MORTGAGE,HIGH,debt_consolidation,AVERAGE,AVERAGE,YES,NEVER,MANY,NO,MEDIUM,NO
5820,MEDIUM,2 - 5 years,MORTGAGE,MEDIUM,debt_consolidation,LOW,AVERAGE,YES,NEVER,FEW,NO,HIGH,NO
5822,HIGH,6 - 9 years,MORTGAGE,MEDIUM,debt_consolidation,LOW,AVERAGE,NO,NEVER,FEW,NO,HIGH,NO
5834,HIGH,10+ years,RENT,MEDIUM,debt_consolidation,AVERAGE,LOW,YES,IN PAST 2 YEARS,AVERAGE,NO,MEDIUM,NO
5836,HIGH,2 - 5 years,MORTGAGE,HIGH,other,AVERAGE,AVERAGE,NO MORE THAN 2 YEARS AGO,MANY,NO,HIGH,NO
5841,MEDIUM,10+ years,MORTGAGE,MEDIUM,debt_consolidation,HIGH,AVERAGE,YES,NEVER,AVERAGE,NO,MEDIUM,NO
5843,HIGH,2 - 5 years,OWN,MEDIUM,debt_consolidation,HIGH,LOW,YES,NEVER,MANY,NO,MEDIUM,NO
5844,LOW,< 2 years,MORTGAGE,MEDIUM,other,AVERAGE,HIGH,NO,NEVER,FEW,NO,LOW,NO
5846,HIGH,2 - 5 years,RENT,HIGH,major_purchase,LOW,HIGH,NO,NEVER,FEW,NO,LOW,NO
5847,LOW,2 - 5 years,MORTGAGE,HIGH,car,AVERAGE,HIGH,YES,NEVER,MANY,NO,LOW,NO
5851,LOW,< 2 years,RENT,MEDIUM,credit_card,AVERAGE,AVERAGE,YES,NEVER,FEW,NO,HIGH,NO
5858,MEDIUM,2 - 5 years,RENT,LOW,credit_card,HIGH,AVERAGE,NO,NEVER,AVERAGE,NO,MEDIUM,NO
5868,HIGH,10+ years,MORTGAGE,MEDIUM,debt_consolidation,HIGH,AVERAGE,YES,NEVER,AVERAGE,NO,MEDIUM,NO
5869,MEDIUM,6 - 9 years,RENT,LOW,credit_card,AVERAGE,AVERAGE,NO,NEVER,FEW,NO,MEDIUM,NO
5874,HIGH,10+ years,RENT,MEDIUM,debt_consolidation,AVERAGE,AVERAGE,NO MORE THAN 2 YEARS AGO,MANY,NO,MEDIUM,NO
5879,HIGH,10+ years,MORTGAGE,MEDIUM,debt_consolidation,AVERAGE,LOW,NO,NEVER,AVERAGE,NO,HIGH,NO
5881,LOW,2 - 5 years,RENT,MEDIUM,other,LOW,LOW,YES MORE THAN 2 YEARS AGO,FEW,NO,MEDIUM,NO
5882,LOW,10+ years,MORTGAGE,HIGH,medical,HIGH,AVERAGE,YES,NEVER,AVERAGE,YES,HIGH,YES
5883,LOW,< 2 years,RENT,LOW,credit_card,HIGH,AVERAGE,YES MORE THAN 2 YEARS AGO,AVERAGE,NO,MEDIUM,NO
5885,MEDIUM,2 - 5 years,RENT,MEDIUM,debt_consolidation,HIGH,LOW,YES,NEVER,FEW,NO,MEDIUM,NO
5886,MEDIUM,< 2 years,RENT,MEDIUM,debt_consolidation,LOW,HIGH,NO,NEVER,AVERAGE,NO,LOW,NO
5892,MEDIUM,10+ years,MORTGAGE,HIGH,credit_card,AVERAGE,AVERAGE,NO MORE THAN 2 YEARS AGO,AVERAGE,NO,MEDIUM,NO
5898,MEDIUM,< 2 years,RENT,HIGH,other,AVERAGE,LOW,YES MORE THAN 2 YEARS AGO,AVERAGE,NO,MEDIUM,NO
5901,MEDIUM,6 - 9 years,MORTGAGE,HIGH,small_business,AVERAGE,LOW,YES,IN PAST 2 YEARS,AVERAGE,NO,HIGH,NO
5903,MEDIUM,< 2 years,MORTGAGE,LOW,debt_consolidation,HIGH,AVERAGE,YES,NEVER,MANY,NO,MEDIUM,NO
5905,MEDIUM,10+ years,MORTGAGE,MEDIUM,debt_consolidation,LOW,AVERAGE,YES,NEVER,AVERAGE,NO,MEDIUM,NO
5908,MEDIUM,2 - 5 years,RENT,HIGH,debt_consolidation,AVERAGE,LOW,NO,NEVER,AVERAGE,NO,MEDIUM,NO
5911,MEDIUM,10+ years,MORTGAGE,HIGH,debt_consolidation,AVERAGE,AVERAGE,YES,NEVER,AVERAGE,NO,MEDIUM,NO
5913,MEDIUM,10+ years,RENT,HIGH,debt_consolidation,AVERAGE,AVERAGE,YES MORE THAN 2 YEARS AGO,AVERAGE,NO,LOW,NO
5916,MEDIUM,6 - 9 years,RENT,MEDIUM,moving,HIGH,LOW,NO,IN PAST 2 YEARS,AVERAGE,NO,MEDIUM,NO
5920,HIGH,6 - 9 years,OWN,MEDIUM,debt_consolidation,HIGH,AVERAGE,YES,NEVER,MANY,NO,MEDIUM,NO
5922,MEDIUM,2 - 5 years,RENT,HIGH,debt_consolidation,AVERAGE,AVERAGE,YES,NEVER,FEW,NO,MEDIUM,NO
5924,HIGH,2 - 5 years,MORTGAGE,MEDIUM,small_business,HIGH,AVERAGE,YES,NEVER,MANY,NO,MEDIUM,NO
5942,LOW,10+ years,RENT,MEDIUM,other,AVERAGE,LOW,NO,NEVER,AVERAGE,NO,MEDIUM,NO
5946,HIGH,2 - 5 years,MORTGAGE,HIGH,debt_consolidation,AVERAGE,AVERAGE,YES MORE THAN 2 YEARS AGO,AVERAGE,NO,MEDIUM,NO
5948,MEDIUM,2 - 5 years,RENT,LOW,debt_consolidation,AVERAGE,AVERAGE,YES,NEVER,AVERAGE,NO,MEDIUM,NO
5949,HIGH,10+ years,OWN,HIGH,debt_consolidation,LOW,HIGH,YES,NEVER,AVERAGE,NO,MEDIUM,NO
5961,MEDIUM,2 - 5 years,MORTGAGE,HIGH,debt_consolidation,AVERAGE,AVERAGE,NO,NEVER,AVERAGE,NO,MEDIUM,NO
5973,MEDIUM,2 - 5 years,MORTGAGE,MEDIUM,debt_consolidation,AVERAGE,AVERAGE,NO,IN PAST 2 YEARS,FEW,NO,HIGH,NO
5976,MEDIUM,6 - 9 years,MORTGAGE,MEDIUM,credit_card,LOW,AVERAGE,NO,NEVER,AVERAGE,NO,MEDIUM,NO
5980,HIGH,2 - 5 years,RENT,HIGH,debt_consolidation,HIGH,LOW,NO,NEVER,MANY,NO,HIGH,NO
5983,HIGH,10+ years,RENT,LOW,debt_consolidation,AVERAGE,AVERAGE,YES MORE THAN 2 YEARS AGO,FEW,NO,MEDIUM,NO
5984,HIGH,10+ years,MORTGAGE,MEDIUM,small_business,HIGH,AVERAGE,YES,NEVER,AVERAGE,NO,HIGH,NO
5988,MEDIUM,< 2 years,RENT,MEDIUM,debt_consolidation,HIGH,AVERAGE,YES,NEVER,AVERAGE,NO,LOW,NO
5990,MEDIUM,< 2 years,RENT,LOW,debt_consolidation,HIGH,AVERAGE,YES,NEVER,MANY,NO,MEDIUM,NO
5994,MEDIUM,10+ years,OWN,MEDIUM,other,LOW,HIGH,NO,NEVER,AVERAGE,NO,LOW,NO
5995,MEDIUM,< 2 years,RENT,LOW,credit_card,HIGH,AVERAGE,NO MORE THAN 2 YEARS AGO,FEW,NO,HIGH,NO
5998,HIGH,10+ years,MORTGAGE,HIGH,credit_card,HIGH,AVERAGE,YES,NEVER,FEW,NO,MEDIUM,NO
5999,LOW,< 2 years,RENT,LOW,moving,LOW,HIGH,YES,NEVER,FEW,NO,LOW,NO
6000,LOW,10+ years,MORTGAGE,LOW,medical,LOW,AVERAGE,YES,IN PAST 2 YEARS,FEW,NO,HIGH,NO
6002,MEDIUM,< 2 years,RENT,LOW,credit_card,AVERAGE,AVERAGE,NO,NEVER,AVERAGE,NO,MEDIUM,NO
6003,LOW,< 2 years,RENT,LOW,debt_consolidation,AVERAGE,AVERAGE,NO,NEVER,MANY,NO,MEDIUM,NO
6004,MEDIUM,< 2 years,RENT,LOW,car,HIGH,AVERAGE,YES,NEVER,AVERAGE,NO,MEDIUM,NO
6008,LOW,unemployed,RENT,LOW,other,AVERAGE,AVERAGE,YES,NEVER,FEW,NO,MEDIUM,NO
6010,MEDIUM,< 2 years,MORTGAGE,MEDIUM,car,HIGH,HIGH,YES,NEVER,MANY,NO,LOW,NO
6018,HIGH,unemployed,OWN,LOW,home_improvement,AVERAGE,AVERAGE,NO MORE THAN 2 YEARS AGO,AVERAGE,NO,LOW,NO
6020,HIGH,10+ years,MORTGAGE,MEDIUM,debt_consolidation,HIGH,HIGH,YES,NEVER,AVERAGE,NO,LOW,NO
6022,HIGH,2 - 5 years,RENT,HIGH,debt_consolidation,LOW,AVERAGE,NO,NEVER,MANY,NO,MEDIUM,NO
6027,MEDIUM,2 - 5 years,RENT,LOW,debt_consolidation,LOW,AVERAGE,NO,NEVER,FEW,NO,HIGH,NO
6028,MEDIUM,2 - 5 years,MORTGAGE,MEDIUM,debt_consolidation,AVERAGE,AVERAGE,NO,NEVER,AVERAGE,NO,MEDIUM,NO
6036,LOW,2 - 5 years,RENT,LOW,small_business,AVERAGE,AVERAGE,NO,NEVER,FEW,NO,HIGH,NO
6038,MEDIUM,unemployed,MORTGAGE,MEDIUM,credit_card,AVERAGE,LOW,YES MORE THAN 2 YEARS AGO,MANY,NO,MEDIUM,NO
6040,HIGH,< 2 years,MORTGAGE,HIGH,home_improvement,AVERAGE,AVERAGE,NO,NEVER,AVERAGE,NO,HIGH,NO
6041,LOW,< 2 years,MORTGAGE,MEDIUM,small_business,LOW,HIGH,NO,NEVER,AVERAGE,NO,LOW,NO
6046,MEDIUM,2 - 5 years,RENT,MEDIUM,debt_consolidation,HIGH,AVERAGE,YES,NEVER,AVERAGE,NO,MEDIUM,NO
6050,MEDIUM,< 2 years,RENT,HIGH,debt_consolidation,LOW,AVERAGE,YES,NEVER,FEW,NO,MEDIUM,NO
6054,MEDIUM,2 - 5 years,MORTGAGE,HIGH,home_improvement,LOW,AVERAGE,NO,IN PAST 2 YEARS,FEW,NO,MEDIUM,NO
6055,HIGH,2 - 5 years,RENT,HIGH,other,LOW,AVERAGE,YES MORE THAN 2 YEARS AGO,MANY,NO,LOW,NO
6056,LOW,10+ years,MORTGAGE,MEDIUM,debt_consolidation,AVERAGE,HIGH,YES MORE THAN 2 YEARS AGO,MANY,NO,LOW,NO
6058,LOW,2 - 5 years,RENT,LOW,vacation,AVERAGE,AVERAGE,NO,NEVER,FEW,NO,HIGH,NO
6063,LOW,10+ years,MORTGAGE,HIGH,other,AVERAGE,AVERAGE,NO,NEVER,MANY,NO,MEDIUM,NO
6069,MEDIUM,< 2 years,OWN,LOW,small_business,HIGH,AVERAGE,NO,NEVER,AVERAGE,NO,LOW,NO
6071,HIGH,10+ years,MORTGAGE,MEDIUM,debt_consolidation,HIGH,HIGH,NO,NEVER,AVERAGE,NO,MEDIUM,NO
6081,LOW,2 - 5 years,MORTGAGE,LOW,credit_card,AVERAGE,AVERAGE,YES,NEVER,FEW,NO,MEDIUM,NO
6087,HIGH,< 2 years,MORTGAGE,HIGH,credit_card,LOW,LOW,NO,IN PAST 2 YEARS,MANY,NO,MEDIUM,NO
6089,HIGH,2 - 5 years,MORTGAGE,MEDIUM,other,HIGH,LOW,YES MORE THAN 2 YEARS AGO,AVERAGE,NO,MEDIUM,NO
6091,MEDIUM,10+ years,MORTGAGE,HIGH,credit_card,AVERAGE,AVERAGE,NO,NEVER,AVERAGE,NO,HIGH,NO
6092,LOW,10+ years,MORTGAGE,MEDIUM,debt_consolidation,LOW,AVERAGE,YES,IN PAST 2 YEARS,FEW,YES,LOW,YES
6097,HIGH,2 - 5 years,RENT,MEDIUM,debt_consolidation,AVERAGE,AVERAGE,YES,NEVER,MANY,NO,MEDIUM,NO
6105,LOW,2 - 5 years,RENT,LOW,debt_consolidation,AVERAGE,LOW,YES,IN PAST 2 YEARS,FEW,NO,MEDIUM,NO
6106,HIGH,10+ years,RENT,MEDIUM,medical,AVERAGE,AVERAGE,NO MORE THAN 2 YEARS AGO,FEW,NO,LOW,NO
6107,HIGH,2 - 5 years,RENT,HIGH,debt_consolidation,AVERAGE,AVERAGE,YES MORE THAN 2 YEARS AGO,AVERAGE,NO,LOW,NO
6112,LOW,10+ years,MORTGAGE,MEDIUM,debt_consolidation,HIGH,AVERAGE,NO,NEVER,AVERAGE,NO,MEDIUM,NO
6114,MEDIUM,2 - 5 years,RENT,LOW,moving,AVERAGE,AVERAGE,NO,NEVER,AVERAGE,NO,MEDIUM,NO
6116,HIGH,6 - 9 years,MORTGAGE,HIGH,debt_consolidation,AVERAGE,AVERAGE,YES,NEVER,AVERAGE,NO,HIGH,NO
6121,HIGH,6 - 9 years,MORTGAGE,HIGH,debt_consolidation,LOW,AVERAGE,YES,IN PAST 2 YEARS,MANY,NO,LOW,NO
6123,MEDIUM,6 - 9 years,RENT,HIGH,debt_consolidation,LOW,LOW,YES,IN PAST 2 YEARS,FEW,NO,HIGH,NO
6127,MEDIUM,6 - 9 years,MORTGAGE,MEDIUM,credit_card,AVERAGE,AVERAGE,NO MORE THAN 2 YEARS AGO,MANY,YES,MEDIUM,YES
6130,HIGH,2 - 5 years,RENT,HIGH,debt_consolidation,AVERAGE,AVERAGE,YES,NEVER,FEW,NO,MEDIUM,NO
6133,HIGH,2 - 5 years,MORTGAGE,HIGH,debt_consolidation,LOW,AVERAGE,NO,NEVER,AVERAGE,NO,MEDIUM,NO
6136,LOW,10+ years,RENT,MEDIUM,debt_consolidation,LOW,AVERAGE,YES,NEVER,AVERAGE,NO,MEDIUM,NO
6141,LOW,< 2 years,RENT,MEDIUM,debt_consolidation,HIGH,AVERAGE,YES,NEVER,AVERAGE,NO,MEDIUM,NO
6142,HIGH,< 2 years,RENT,MEDIUM,debt_consolidation,AVERAGE,AVERAGE,NO,NEVER,AVERAGE,YES,MEDIUM,YES
6143,LOW,< 2 years,MORTGAGE,MEDIUM,small_business,LOW,AVERAGE,YES,IN PAST 2 YEARS,FEW,NO,LOW,NO
6146,HIGH,2 - 5 years,MORTGAGE,HIGH,home_improvement,AVERAGE,HIGH,NO,IN PAST 2 YEARS,AVERAGE,NO,LOW,NO
6154,MEDIUM,2 - 5 years,MORTGAGE,HIGH,other,AVERAGE,LOW,YES MORE THAN 2 YEARS AGO,MANY,NO,MEDIUM,NO
6157,HIGH,6 - 9 years,MORTGAGE,LOW,debt_consolidation,HIGH,LOW,YES,NEVER,AVERAGE,NO,HIGH,NO
6159,HIGH,2 - 5 years,MORTGAGE,MEDIUM,other,HIGH,AVERAGE,YES,NEVER,AVERAGE,NO,MEDIUM,NO
6163,LOW,6 - 9 years,MORTGAGE,LOW,other,AVERAGE,AVERAGE,NO,NEVER,AVERAGE,NO,MEDIUM,NO
6164,MEDIUM,2 - 5 years,MORTGAGE,MEDIUM,home_improvement,AVERAGE,AVERAGE,YES,NEVER,AVERAGE,NO,MEDIUM,NO
6166,MEDIUM,< 2 years,RENT,HIGH,debt_consolidation,LOW,AVERAGE,YES,NEVER,AVERAGE,NO,MEDIUM,NO
6168,MEDIUM,< 2 years,RENT,MEDIUM,debt_consolidation,AVERAGE,LOW,YES,NEVER,AVERAGE,NO,HIGH,NO
6174,MEDIUM,6 - 9 years,RENT,LOW,car,HIGH,AVERAGE,NO,NEVER,MANY,NO,HIGH,NO
6175,MEDIUM,2 - 5 years,MORTGAGE,MEDIUM,debt_consolidation,AVERAGE,AVERAGE,YES,NEVER,AVERAGE,NO,HIGH,NO
6183,HIGH,6 - 9 years,RENT,HIGH,small_business,LOW,AVERAGE,YES MORE THAN 2 YEARS AGO,AVERAGE,NO,MEDIUM,NO
6185,MEDIUM,10+ years,RENT,MEDIUM,other,HIGH,AVERAGE,YES MORE THAN 2 YEARS AGO,MANY,NO,MEDIUM,NO
6186,LOW,< 2 years,RENT,LOW,debt_consolidation,LOW,AVERAGE,YES MORE THAN 2 YEARS AGO,FEW,NO,HIGH,NO
6188,MEDIUM,10+ years,MORTGAGE,MEDIUM,medical,HIGH,AVERAGE,YES,NEVER,AVERAGE,NO,LOW,NO
6189,MEDIUM,2 - 5 years,OWN,MEDIUM,credit_card,AVERAGE,AVERAGE,YES,NEVER,FEW,NO,MEDIUM,NO
6190,MEDIUM,unemployed,MORTGAGE,MEDIUM,medical,LOW,HIGH,YES,IN PAST 2 YEARS,AVERAGE,NO,LOW,NO
6191,HIGH,2 - 5 years,OWN,HIGH,small_business,AVERAGE,AVERAGE,NO,NEVER,MANY,NO,MEDIUM,NO
6192,HIGH,2 - 5 years,MORTGAGE,MEDIUM,small_business,AVERAGE,HIGH,NO,NEVER,AVERAGE,NO,LOW,NO
6198,MEDIUM,2 - 5 years,MORTGAGE,MEDIUM,debt_consolidation,AVERAGE,AVERAGE,NO MORE THAN 2 YEARS AGO,AVERAGE,NO,MEDIUM,NO
6199,MEDIUM,6 - 9 years,RENT,MEDIUM,major_purchase,AVERAGE,AVERAGE,NO,NEVER,FEW,NO,LOW,NO
6200,MEDIUM,2 - 5 years,RENT,LOW,debt_consolidation,AVERAGE,HIGH,YES,NEVER,AVERAGE,NO,LOW,NO
6201,HIGH,6 - 9 years,MORTGAGE,HIGH,credit_card,AVERAGE,HIGH,NO,NEVER,MANY,NO,MEDIUM,NO
6205,HIGH,10+ years,RENT,MEDIUM,debt_consolidation,AVERAGE,AVERAGE,NO MORE THAN 2 YEARS AGO,AVERAGE,YES,MEDIUM,YES
6206,HIGH,10+ years,OWN,MEDIUM,debt_consolidation,AVERAGE,AVERAGE,YES,NEVER,AVERAGE,NO,MEDIUM,NO
6209,HIGH,10+ years,MORTGAGE,HIGH,debt_consolidation,AVERAGE,AVERAGE,YES,NEVER,AVERAGE,NO,MEDIUM,NO
6219,MEDIUM,6 - 9 years,MORTGAGE,HIGH,house,AVERAGE,LOW,YES,IN PAST 2 YEARS,AVERAGE,NO,LOW,NO
